Added 6331; Current median 6331; running total 6331
Added 5659; Current median 4674; running total 394
Added 3785; Current median 4674; running total 5068
Added 5346; Current median 4674; running total 9742
Added 520; Current median 4674; running total 4416
Added 4547; Current median 4672; running total 9088
Added 6585; Current median 4674; running total 3762
Added 8143; Current median 4674; running total 8436
Added 7607; Current median 4675; running total 3111
Added 7429; Current median 4675; running total 7786
Added 306; Current median 4675; running total 2461
Added 1671; Current median 4674; running total 7135
Added 2446; Current median 4674; running total 1809
Added 379; Current median 4672; running total 6481
Added 9733; Current median 4674; running total 1155
Added 5951; Current median 4674; running total 5829
Added 1453; Current median 4674; running total 503
Added 3454; Current median 4672; running total 5175
Added 3848; Current median 4672; running total 9847
Added 5514; Current median 4672; running total 4519
Added 4725; Current median 4674; running total 9193
Added 5965; Current median 4674; running total 3867
Added 7910; Current median 4675; running total 8542
Added 3963; Current median 4674; running total 3216
Added 7669; Current median 4675; running total 7891
Added 3684; Current median 4674; running total 2565
Added 6356; Current median 4675; running total 7240
Added 2778; Current median 4674; running total 1914
Added 9120; Current median 4675; running total 6589
Added 6553; Current median 4675; running total 1264
Added 3884; Current median 4675; running total 5939
Added 7898; Current median 4675; running total 614
Added 5427; Current median 4676; running total 5290
Added 872; Current median 4675; running total 9965
Added 5486; Current median 4676; running total 4641
Added 5617; Current median 4676; running total 9317
Added 4839; Current median 4678; running total 3995
Added 7753; Current median 4678; running total 8673
Added 8965; Current median 4682; running total 3355
Added 855; Current median 4678; running total 8033
Added 5602; Current median 4682; running total 2715
Added 9075; Current median 4682; running total 7397
Added 8025; Current median 4688; running total 2085
Added 6285; Current median 4688; running total 6773
Added 3822; Current median 4688; running total 1461
Added 2084; Current median 4682; running total 6143
Added 8721; Current median 4688; running total 831
Added 1594; Current median 4682; running total 5513
Added 3410; Current median 4682; running total 195
Added 5172; Current median 4682; running total 4877
Added 8995; Current median 4688; running total 9565
Added 4163; Current median 4682; running total 4247
Added 7474; Current median 4688; running total 8935
Added 470; Current median 4682; running total 3617
Added 7465; Current median 4688; running total 8305
Added 6009; Current median 4688; running total 2993
Added 9653; Current median 4689; running total 7682
Added 2053; Current median 4688; running total 2370
Added 2220; Current median 4688; running total 7058
Added 7734; Current median 4688; running total 1746
Added 1142; Current median 4688; running total 6434
Added 5400; Current median 4688; running total 1122
Added 8256; Current median 4689; running total 5811
Added 3732; Current median 4688; running total 499
Added 9294; Current median 4689; running total 5188
Added 7145; Current median 4689; running total 9877
Added 6674; Current median 4691; running total 4568
Added 1783; Current median 4689; running total 9257
Added 9234; Current median 4691; running total 3948
Added 3108; Current median 4689; running total 8637
Added 505; Current median 4689; running total 3326
Added 6600; Current median 4689; running total 8015
Added 1302; Current median 4689; running total 2704
Added 6647; Current median 4689; running total 7393
Added 7670; Current median 4691; running total 2084
Added 8607; Current median 4691; running total 6775
Added 8649; Current median 4696; running total 1471
Added 3223; Current median 4691; running total 6162
Added 6800; Current median 4696; running total 858
Added 8126; Current median 4696; running total 5554
Added 7329; Current median 4698; running total 252
Added 1141; Current median 4696; running total 4948
Added 8889; Current median 4698; running total 9646
Added 1299; Current median 4696; running total 4342
Added 1970; Current median 4696; running total 9038
Added 3594; Current median 4691; running total 3729
Added 1431; Current median 4691; running total 8420
Added 6593; Current median 4691; running total 3111
Added 2659; Current median 4691; running total 7802
Added 5257; Current median 4691; running total 2493
Added 9334; Current median 4696; running total 7189
Added 5102; Current median 4696; running total 1885
Added 6339; Current median 4698; running total 6583
Added 3062; Current median 4696; running total 1279
Added 5436; Current median 4698; running total 5977
Added 7334; Current median 4698; running total 675
Added 5002; Current median 4699; running total 5374
Added 3632; Current median 4698; running total 72
Added 315; Current median 4698; running total 4770
Added 6272; Current median 4698; running total 9468
Added 1603; Current median 4698; running total 4166
Added 2096; Current median 4696; running total 8862
Added 2854; Current median 4696; running total 3558
Added 309; Current median 4691; running total 8249
Added 1445; Current median 4691; running total 2940
Added 4543; Current median 4689; running total 7629
Added 4340; Current median 4689; running total 2318
Added 8184; Current median 4689; running total 7007
Added 9846; Current median 4691; running total 1698
Added 7971; Current median 4691; running total 6389
Added 6595; Current median 4696; running total 1085
Added 1989; Current median 4691; running total 5776
Added 1655; Current median 4691; running total 467
Added 6703; Current median 4691; running total 5158
Added 2567; Current median 4691; running total 9849
Added 3780; Current median 4689; running total 4538
Added 2015; Current median 4689; running total 9227
Added 4717; Current median 4689; running total 3916
Added 8860; Current median 4691; running total 8607
Added 6887; Current median 4691; running total 3298
Added 4731; Current median 4696; running total 7994
Added 4428; Current median 4691; running total 2685
Added 1498; Current median 4691; running total 7376
Added 7678; Current median 4691; running total 2067
Added 3247; Current median 4691; running total 6758
Added 2037; Current median 4689; running total 1447
Added 3757; Current median 4689; running total 6136
Added 7547; Current median 4689; running total 825
Added 4144; Current median 4689; running total 5514
Added 8886; Current median 4689; running total 203
Added 9274; Current median 4691; running total 4894
Added 3762; Current median 4689; running total 9583
Added 6141; Current median 4691; running total 4274
Added 6676; Current median 4691; running total 8965
Added 8934; Current median 4696; running total 3661
Added 7425; Current median 4696; running total 8357
Added 6124; Current median 4698; running total 3055
Added 1923; Current median 4696; running total 7751
Added 1201; Current median 4696; running total 2447
Added 2430; Current median 4691; running total 7138
Added 9137; Current median 4696; running total 1834
Added 6359; Current median 4696; running total 6530
Added 2857; Current median 4696; running total 1226
Added 8155; Current median 4696; running total 5922
Added 5322; Current median 4698; running total 620
Added 260; Current median 4696; running total 5316
Added 7243; Current median 4698; running total 14
Added 1929; Current median 4696; running total 4710
Added 1555; Current median 4696; running total 9406
Added 3973; Current median 4691; running total 4097
Added 3504; Current median 4691; running total 8788
Added 4851; Current median 4691; running total 3479
Added 1519; Current median 4691; running total 8170
Added 4265; Current median 4689; running total 2859
Added 9911; Current median 4691; running total 7550
Added 9005; Current median 4691; running total 2241
Added 5207; Current median 4696; running total 6937
Added 9616; Current median 4696; running total 1633
Added 6445; Current median 4698; running total 6331
Added 2891; Current median 4696; running total 1027
Added 5302; Current median 4698; running total 5725
Added 9134; Current median 4698; running total 423
Added 8353; Current median 4699; running total 5122
Added 304; Current median 4698; running total 9820
Added 5432; Current median 4699; running total 4519
Added 5234; Current median 4699; running total 9218
Added 2503; Current median 4699; running total 3917
Added 8703; Current median 4699; running total 8616
Added 6082; Current median 4703; running total 3319
Added 4796; Current median 4703; running total 8022
Added 9284; Current median 4705; running total 2727
Added 9043; Current median 4705; running total 7432
Added 2088; Current median 4705; running total 2137
Added 5502; Current median 4705; running total 6842
Added 8730; Current median 4706; running total 1548
Added 8665; Current median 4706; running total 6254
Added 7103; Current median 4707; running total 961
Added 4054; Current median 4706; running total 5667
Added 873; Current median 4706; running total 373
Added 6487; Current median 4706; running total 5079
Added 9834; Current median 4707; running total 9786
Added 3267; Current median 4706; running total 4492
Added 1027; Current median 4706; running total 9198
Added 8541; Current median 4706; running total 3904
Added 5885; Current median 4707; running total 8611
Added 1755; Current median 4706; running total 3317
Added 5558; Current median 4707; running total 8024
Added 3226; Current median 4706; running total 2730
Added 5441; Current median 4707; running total 7437
Added 7137; Current median 4707; running total 2144
Added 781; Current median 4707; running total 6851
Added 9997; Current median 4707; running total 1558
Added 8466; Current median 4708; running total 6266
Added 1179; Current median 4707; running total 973
Added 1621; Current median 4707; running total 5680
Added 9922; Current median 4707; running total 387
Added 6422; Current median 4708; running total 5095
Added 6579; Current median 4708; running total 9803
Added 8821; Current median 4709; running total 4512
Added 9602; Current median 4709; running total 9221
Added 9288; Current median 4710; running total 3931
Added 8684; Current median 4710; running total 8641
Added 5137; Current median 4711; running total 3352
Added 3349; Current median 4710; running total 8062
Added 6244; Current median 4711; running total 2773
Added 6509; Current median 4711; running total 7484
Added 1841; Current median 4711; running total 2195
Added 1933; Current median 4710; running total 6905
Added 7214; Current median 4711; running total 1616
Added 2945; Current median 4710; running total 6326
Added 8422; Current median 4711; running total 1037
Added 4816; Current median 4711; running total 5748
Added 445; Current median 4711; running total 459
Added 3272; Current median 4710; running total 5169
Added 2584; Current median 4710; running total 9879
Added 4833; Current median 4710; running total 4589
Added 7089; Current median 4711; running total 9300
Added 4522; Current median 4710; running total 4010
Added 1664; Current median 4710; running total 8720
Added 9362; Current median 4710; running total 3430
Added 4382; Current median 4710; running total 8140
Added 1699; Current median 4709; running total 2849
Added 319; Current median 4709; running total 7558
Added 1078; Current median 4708; running total 2266
Added 4549; Current median 4708; running total 6974
Added 7355; Current median 4708; running total 1682
Added 7155; Current median 4709; running total 6391
Added 8974; Current median 4709; running total 1100
Added 4649; Current median 4709; running total 5809
Added 7714; Current median 4709; running total 518
Added 2695; Current median 4709; running total 5227
Added 7453; Current median 4709; running total 9936
Added 1482; Current median 4709; running total 4645
Added 7461; Current median 4709; running total 9354
Added 3348; Current median 4709; running total 4063
Added 291; Current median 4708; running total 8771
Added 5992; Current median 4709; running total 3480
Added 3234; Current median 4708; running total 8188
Added 4893; Current median 4709; running total 2897
Added 8866; Current median 4709; running total 7606
Added 6342; Current median 4710; running total 2316
Added 7919; Current median 4710; running total 7026
Added 2781; Current median 4710; running total 1736
Added 1569; Current median 4709; running total 6445
Added 2838; Current median 4709; running total 1154
Added 7865; Current median 4709; running total 5863
Added 2496; Current median 4709; running total 572
Added 6857; Current median 4709; running total 5281
Added 4590; Current median 4709; running total 9990
Added 5754; Current median 4709; running total 4699
Added 8597; Current median 4710; running total 9409
Added 8405; Current median 4710; running total 4119
Added 1059; Current median 4710; running total 8829
Added 7455; Current median 4710; running total 3539
Added 3688; Current median 4710; running total 8249
Added 7559; Current median 4710; running total 2959
Added 5330; Current median 4711; running total 7670
Added 2047; Current median 4710; running total 2380
Added 1387; Current median 4710; running total 7090
Added 5548; Current median 4710; running total 1800
Added 5841; Current median 4711; running total 6511
Added 9119; Current median 4711; running total 1222
Added 6497; Current median 4712; running total 5934
Added 9702; Current median 4712; running total 646
Added 3411; Current median 4712; running total 5358
Added 6892; Current median 4712; running total 70
Added 3290; Current median 4712; running total 4782
Added 6214; Current median 4712; running total 9494
Added 6067; Current median 4714; running total 4208
Added 882; Current median 4712; running total 8920
Added 6106; Current median 4714; running total 3634
Added 5201; Current median 4714; running total 8348
Added 5138; Current median 4716; running total 3064
Added 2693; Current median 4714; running total 7778
Added 6167; Current median 4716; running total 2494
Added 7339; Current median 4716; running total 7210
Added 3558; Current median 4716; running total 1926
Added 6982; Current median 4716; running total 6642
Added 5368; Current median 4717; running total 1359
Added 187; Current median 4716; running total 6075
Added 3123; Current median 4716; running total 791
Added 5447; Current median 4716; running total 5507
Added 6299; Current median 4717; running total 224
Added 3460; Current median 4716; running total 4940
Added 2704; Current median 4716; running total 9656
Added 6357; Current median 4716; running total 4372
Added 923; Current median 4716; running total 9088
Added 5946; Current median 4716; running total 3804
Added 4070; Current median 4716; running total 8520
Added 6117; Current median 4716; running total 3236
Added 6104; Current median 4717; running total 7953
Added 3548; Current median 4716; running total 2669
Added 1108; Current median 4716; running total 7385
Added 8828; Current median 4716; running total 2101
Added 1455; Current median 4716; running total 6817
Added 3353; Current median 4714; running total 1531
Added 7146; Current median 4716; running total 6247
Added 3825; Current median 4714; running total 961
Added 1433; Current median 4714; running total 5675
Added 212; Current median 4712; running total 387
Added 3336; Current median 4712; running total 5099
Added 9866; Current median 4712; running total 9811
Added 9182; Current median 4714; running total 4525
Added 1324; Current median 4712; running total 9237
Added 90; Current median 4712; running total 3949
Added 3040; Current median 4711; running total 8660
Added 8294; Current median 4712; running total 3372
Added 5444; Current median 4712; running total 8084
Added 5037; Current median 4714; running total 2798
Added 7108; Current median 4714; running total 7512
Added 2982; Current median 4714; running total 2226
Added 618; Current median 4712; running total 6938
Added 6741; Current median 4714; running total 1652
Added 6147; Current median 4714; running total 6366
Added 691; Current median 4714; running total 1080
Added 2656; Current median 4712; running total 5792
Added 9488; Current median 4714; running total 506
Added 9245; Current median 4714; running total 5220
Added 4801; Current median 4716; running total 9936
Added 4072; Current median 4714; running total 4650
Added 9454; Current median 4716; running total 9366
Added 1682; Current median 4714; running total 4080
Added 7922; Current median 4716; running total 8796
Added 6644; Current median 4716; running total 3512
Added 9594; Current median 4717; running total 8229
Added 4167; Current median 4716; running total 2945
Added 6158; Current median 4717; running total 7662
Added 8573; Current median 4717; running total 2379
Added 1405; Current median 4717; running total 7096
Added 8539; Current median 4717; running total 1813
Added 1520; Current median 4717; running total 6530
Added 1292; Current median 4716; running total 1246
Added 9053; Current median 4717; running total 5963
Added 5211; Current median 4717; running total 680
Added 4641; Current median 4717; running total 5397
Added 9163; Current median 4717; running total 114
Added 2398; Current median 4717; running total 4831
Added 7984; Current median 4717; running total 9548
Added 2416; Current median 4717; running total 4265
Added 6776; Current median 4717; running total 8982
Added 220; Current median 4717; running total 3699
Added 3047; Current median 4716; running total 8415
Added 3098; Current median 4716; running total 3131
Added 5443; Current median 4716; running total 7847
Added 1406; Current median 4716; running total 2563
Added 5720; Current median 4716; running total 7279
Added 8334; Current median 4717; running total 1996
Added 628; Current median 4716; running total 6712
Added 149; Current median 4716; running total 1428
Added 1726; Current median 4714; running total 6142
Added 5343; Current median 4716; running total 858
Added 9792; Current median 4716; running total 5574
Added 8829; Current median 4717; running total 291
Added 9511; Current median 4717; running total 5008
Added 8606; Current median 4722; running total 9730
Added 2355; Current median 4717; running total 4447
Added 7966; Current median 4722; running total 9169
Added 9411; Current median 4722; running total 3891
Added 4341; Current median 4722; running total 8613
Added 7619; Current median 4722; running total 3335
Added 922; Current median 4722; running total 8057
Added 8961; Current median 4722; running total 2779
Added 6327; Current median 4723; running total 7502
Added 2713; Current median 4722; running total 2224
Added 7344; Current median 4723; running total 6947
Added 9033; Current median 4723; running total 1670
Added 3977; Current median 4723; running total 6393
Added 1055; Current median 4722; running total 1115
Added 3321; Current median 4722; running total 5837
Added 7647; Current median 4722; running total 559
Added 1833; Current median 4722; running total 5281
Added 3710; Current median 4717; running total 9998
Added 1401; Current median 4717; running total 4715
Added 4381; Current median 4716; running total 9431
Added 5953; Current median 4717; running total 4148
Added 1250; Current median 4716; running total 8864
Added 2054; Current median 4716; running total 3580
Added 2526; Current median 4714; running total 8294
Added 2435; Current median 4714; running total 3008
Added 3796; Current median 4712; running total 7720
Added 2455; Current median 4712; running total 2432
Added 2811; Current median 4711; running total 7143
Added 8491; Current median 4712; running total 1855
Added 1864; Current median 4711; running total 6566
Added 7758; Current median 4712; running total 1278
Added 9593; Current median 4712; running total 5990
Added 2688; Current median 4712; running total 702
Added 4510; Current median 4711; running total 5413
Added 1071; Current median 4711; running total 124
Added 4953; Current median 4711; running total 4835
Added 9596; Current median 4712; running total 9547
Added 4915; Current median 4712; running total 4259
Added 7294; Current median 4714; running total 8973
Added 7497; Current median 4714; running total 3687
Added 868; Current median 4714; running total 8401
Added 5263; Current median 4714; running total 3115
Added 7787; Current median 4716; running total 7831
Added 7546; Current median 4716; running total 2547
Added 9065; Current median 4717; running total 7264
Added 1779; Current median 4716; running total 1980
Added 9070; Current median 4717; running total 6697
Added 6834; Current median 4717; running total 1414
Added 7725; Current median 4722; running total 6136
Added 4394; Current median 4717; running total 853
Added 3969; Current median 4717; running total 5570
Added 8720; Current median 4717; running total 287
Added 1060; Current median 4717; running total 5004
Added 2263; Current median 4716; running total 9720
Added 2866; Current median 4716; running total 4436
Added 6431; Current median 4716; running total 9152
Added 3404; Current median 4716; running total 3868
Added 3199; Current median 4714; running total 8582
Added 7525; Current median 4716; running total 3298
Added 1874; Current median 4714; running total 8012
Added 635; Current median 4714; running total 2726
Added 1737; Current median 4712; running total 7438
Added 9124; Current median 4714; running total 2152
Added 6003; Current median 4714; running total 6866
Added 5421; Current median 4716; running total 1582
Added 899; Current median 4714; running total 6296
Added 2641; Current median 4714; running total 1010
Added 8058; Current median 4714; running total 5724
Added 8283; Current median 4716; running total 440
Added 8807; Current median 4716; running total 5156
Added 9813; Current median 4717; running total 9873
Added 4529; Current median 4716; running total 4589
Added 4530; Current median 4716; running total 9305
Added 2770; Current median 4714; running total 4019
Added 2574; Current median 4714; running total 8733
Added 8825; Current median 4714; running total 3447
Added 8490; Current median 4716; running total 8163
Added 767; Current median 4714; running total 2877
Added 248; Current median 4714; running total 7591
Added 7716; Current median 4714; running total 2305
Added 6069; Current median 4716; running total 7021
Added 8623; Current median 4716; running total 1737
Added 1470; Current median 4716; running total 6453
Added 1331; Current median 4714; running total 1167
Added 7319; Current median 4716; running total 5883
Added 6137; Current median 4716; running total 599
Added 1467; Current median 4716; running total 5315
Added 6897; Current median 4716; running total 31
Added 5156; Current median 4717; running total 4748
Added 2703; Current median 4716; running total 9464
Added 4476; Current median 4716; running total 4180
Added 4226; Current median 4714; running total 8894
Added 6488; Current median 4716; running total 3610
Added 9493; Current median 4716; running total 8326
Added 4975; Current median 4717; running total 3043
Added 1240; Current median 4716; running total 7759
Added 9789; Current median 4717; running total 2476
Added 8443; Current median 4717; running total 7193
Added 2308; Current median 4717; running total 1910
Added 674; Current median 4716; running total 6626
Added 9597; Current median 4717; running total 1343
Added 3955; Current median 4716; running total 6059
Added 4661; Current median 4716; running total 775
Added 3631; Current median 4714; running total 5489
Added 5112; Current median 4716; running total 205
Added 9204; Current median 4716; running total 4921
Added 2423; Current median 4716; running total 9637
Added 6827; Current median 4716; running total 4353
Added 442; Current median 4716; running total 9069
Added 6229; Current median 4716; running total 3785
Added 235; Current median 4716; running total 8501
Added 1787; Current median 4714; running total 3215
Added 9654; Current median 4716; running total 7931
Added 3744; Current median 4714; running total 2645
Added 2287; Current median 4714; running total 7359
Added 5375; Current median 4714; running total 2073
Added 6729; Current median 4716; running total 6789
Added 3683; Current median 4714; running total 1503
Added 7132; Current median 4716; running total 6219
Added 8992; Current median 4716; running total 935
Added 7266; Current median 4717; running total 5652
Added 9547; Current median 4717; running total 369
Added 9548; Current median 4722; running total 5091
Added 5517; Current median 4722; running total 9813
Added 1079; Current median 4722; running total 4535
Added 2026; Current median 4717; running total 9252
Added 4508; Current median 4717; running total 3969
Added 7318; Current median 4717; running total 8686
Added 498; Current median 4717; running total 3403
Added 6201; Current median 4717; running total 8120
Added 4487; Current median 4717; running total 2837
Added 2322; Current median 4716; running total 7553
Added 7582; Current median 4717; running total 2270
Added 1947; Current median 4716; running total 6986
Added 6256; Current median 4717; running total 1703
Added 7366; Current median 4717; running total 6420
Added 7888; Current median 4722; running total 1142
Added 8465; Current median 4722; running total 5864
Added 6737; Current median 4723; running total 587
Added 3215; Current median 4722; running total 5309
Added 6503; Current median 4723; running total 32
Added 3906; Current median 4722; running total 4754
Added 5429; Current median 4723; running total 9477
Added 6780; Current median 4723; running total 4200
Added 683; Current median 4723; running total 8923
Added 4623; Current median 4722; running total 3645
Added 2657; Current median 4722; running total 8367
Added 8644; Current median 4722; running total 3089
Added 2461; Current median 4722; running total 7811
Added 3375; Current median 4717; running total 2528
Added 3448; Current median 4717; running total 7245
Added 8176; Current median 4717; running total 1962
Added 2886; Current median 4717; running total 6679
Added 9677; Current median 4717; running total 1396
Added 3972; Current median 4717; running total 6113
Added 9468; Current median 4717; running total 830
Added 6836; Current median 4722; running total 5552
Added 1850; Current median 4717; running total 269
Added 5365; Current median 4722; running total 4991
Added 39; Current median 4717; running total 9708
Added 8950; Current median 4722; running total 4430
Added 2727; Current median 4717; running total 9147
Added 5454; Current median 4722; running total 3869
Added 5393; Current median 4722; running total 8591
Added 8170; Current median 4723; running total 3314
Added 9855; Current median 4723; running total 8037
Added 2112; Current median 4723; running total 2760
Added 3019; Current median 4722; running total 7482
Added 5449; Current median 4723; running total 2205
Added 5145; Current median 4723; running total 6928
Added 63; Current median 4723; running total 1651
Added 3466; Current median 4722; running total 6373
Added 9658; Current median 4723; running total 1096
Added 7431; Current median 4723; running total 5819
Added 7529; Current median 4724; running total 543
Added 895; Current median 4723; running total 5266
Added 2541; Current median 4723; running total 9989
Added 3066; Current median 4722; running total 4711
Added 7098; Current median 4723; running total 9434
Added 5204; Current median 4723; running total 4157
Added 5511; Current median 4724; running total 8881
Added 2082; Current median 4723; running total 3604
Added 9794; Current median 4724; running total 8328
Added 6107; Current median 4724; running total 3052
Added 8038; Current median 4725; running total 7777
Added 8582; Current median 4725; running total 2502
Added 1585; Current median 4725; running total 7227
Added 5772; Current median 4725; running total 1952
Added 610; Current median 4725; running total 6677
Added 4795; Current median 4725; running total 1402
Added 4186; Current median 4725; running total 6127
Added 9020; Current median 4725; running total 852
Added 5184; Current median 4726; running total 5578
Added 7316; Current median 4726; running total 304
Added 4824; Current median 4727; running total 5031
Added 5764; Current median 4727; running total 9758
Added 3265; Current median 4727; running total 4485
Added 1492; Current median 4726; running total 9211
Added 9636; Current median 4727; running total 3938
Added 5319; Current median 4727; running total 8665
Added 5111; Current median 4729; running total 3394
Added 5778; Current median 4729; running total 8123
Added 6248; Current median 4730; running total 2853
Added 1221; Current median 4729; running total 7582
Added 4335; Current median 4729; running total 2311
Added 5039; Current median 4729; running total 7040
Added 3373; Current median 4729; running total 1769
Added 2619; Current median 4727; running total 6496
Added 369; Current median 4727; running total 1223
Added 7688; Current median 4727; running total 5950
Added 392; Current median 4727; running total 677
Added 5268; Current median 4727; running total 5404
Added 1408; Current median 4727; running total 131
Added 2952; Current median 4726; running total 4857
Added 1527; Current median 4726; running total 9583
Added 2318; Current median 4725; running total 4308
Added 6872; Current median 4726; running total 9034
Added 2211; Current median 4725; running total 3759
Added 4195; Current median 4725; running total 8484
Added 1529; Current median 4724; running total 3208
Added 3118; Current median 4724; running total 7932
Added 5581; Current median 4724; running total 2656
Added 8291; Current median 4725; running total 7381
Added 5669; Current median 4725; running total 2106
Added 336; Current median 4725; running total 6831
Added 2631; Current median 4724; running total 1555
Added 7720; Current median 4725; running total 6280
Added 1226; Current median 4724; running total 1004
Added 1314; Current median 4724; running total 5728
Added 2300; Current median 4723; running total 451
Added 8253; Current median 4724; running total 5175
Added 2135; Current median 4723; running total 9898
Added 2630; Current median 4723; running total 4621
Added 9159; Current median 4723; running total 9344
Added 2741; Current median 4723; running total 4067
Added 2902; Current median 4722; running total 8789
Added 9111; Current median 4723; running total 3512
Added 7701; Current median 4723; running total 8235
Added 6374; Current median 4724; running total 2959
Added 2352; Current median 4723; running total 7682
Added 6504; Current median 4724; running total 2406
Added 9265; Current median 4724; running total 7130
Added 9824; Current median 4725; running total 1855
Added 7845; Current median 4725; running total 6580
Added 3255; Current median 4725; running total 1305
Added 6765; Current median 4725; running total 6030
Added 9275; Current median 4726; running total 756
Added 3408; Current median 4725; running total 5481
Added 2358; Current median 4725; running total 206
Added 1825; Current median 4724; running total 4930
Added 1194; Current median 4724; running total 9654
Added 1599; Current median 4723; running total 4377
Added 7202; Current median 4724; running total 9101
Added 3865; Current median 4723; running total 3824
Added 9381; Current median 4724; running total 8548
Added 6921; Current median 4724; running total 3272
Added 7039; Current median 4725; running total 7997
Added 7795; Current median 4725; running total 2722
Added 6146; Current median 4726; running total 7448
Added 7006; Current median 4726; running total 2174
Added 6013; Current median 4727; running total 6901
Added 6483; Current median 4727; running total 1628
Added 5612; Current median 4729; running total 6357
Added 847; Current median 4727; running total 1084
Added 8067; Current median 4729; running total 5813
Added 2153; Current median 4727; running total 540
Added 4562; Current median 4727; running total 5267
Added 6263; Current median 4727; running total 9994
Added 7072; Current median 4729; running total 4723
Added 4373; Current median 4727; running total 9450
Added 6222; Current median 4729; running total 4179
Added 5318; Current median 4729; running total 8908
Added 3475; Current median 4729; running total 3637
Added 7070; Current median 4729; running total 8366
Added 3643; Current median 4729; running total 3095
Added 7630; Current median 4729; running total 7824
Added 2540; Current median 4729; running total 2553
Added 4310; Current median 4727; running total 7280
Added 167; Current median 4727; running total 2007
Added 1990; Current median 4726; running total 6733
Added 6814; Current median 4727; running total 1460
Added 4539; Current median 4726; running total 6186
Added 523; Current median 4726; running total 912
Added 8743; Current median 4726; running total 5638
Added 5344; Current median 4727; running total 365
Added 5185; Current median 4727; running total 5092
Added 3082; Current median 4727; running total 9819
Added 6014; Current median 4727; running total 4546
Added 4398; Current median 4727; running total 9273
Added 5655; Current median 4727; running total 4000
Added 5944; Current median 4729; running total 8729
Added 443; Current median 4727; running total 3456
Added 5813; Current median 4729; running total 8185
Added 6898; Current median 4729; running total 2914
Added 1022; Current median 4729; running total 7643
Added 6614; Current median 4729; running total 2372
Added 9498; Current median 4730; running total 7102
Added 5379; Current median 4730; running total 1832
Added 1899; Current median 4730; running total 6562
Added 1533; Current median 4729; running total 1291
Added 3281; Current median 4729; running total 6020
Added 2755; Current median 4727; running total 747
Added 9127; Current median 4729; running total 5476
Added 9441; Current median 4729; running total 205
Added 5050; Current median 4730; running total 4935
Added 7055; Current median 4730; running total 9665
Added 7114; Current median 4731; running total 4396
Added 7324; Current median 4731; running total 9127
Added 3515; Current median 4731; running total 3858
Added 6562; Current median 4731; running total 8589
Added 9634; Current median 4732; running total 3321
Added 7099; Current median 4732; running total 8053
Added 4670; Current median 4732; running total 2785
Added 6638; Current median 4732; running total 7517
Added 5974; Current median 4733; running total 2250
Added 9483; Current median 4733; running total 6983
Added 3220; Current median 4733; running total 1716
Added 9082; Current median 4733; running total 6449
Added 9726; Current median 4737; running total 1186
Added 4694; Current median 4733; running total 5919
Added 1192; Current median 4733; running total 652
Added 9383; Current median 4733; running total 5385
Added 903; Current median 4733; running total 118
Added 9103; Current median 4733; running total 4851
Added 9533; Current median 4737; running total 9588
Added 4007; Current median 4733; running total 4321
Added 5388; Current median 4737; running total 9058
Added 3127; Current median 4733; running total 3791
Added 4809; Current median 4737; running total 8528
Added 5830; Current median 4737; running total 3265
Added 7304; Current median 4740; running total 8005
Added 3221; Current median 4737; running total 2742
Added 3229; Current median 4737; running total 7479
Added 4014; Current median 4733; running total 2212
Added 5546; Current median 4737; running total 6949
Added 1377; Current median 4733; running total 1682
Added 1403; Current median 4733; running total 6415
Added 4677; Current median 4732; running total 1147
Added 359; Current median 4732; running total 5879
Added 60; Current median 4731; running total 610
Added 645; Current median 4731; running total 5341
Added 8424; Current median 4731; running total 72
Added 4734; Current median 4732; running total 4804
Added 5735; Current median 4732; running total 9536
Added 6441; Current median 4733; running total 4269
Added 9888; Current median 4733; running total 9002
Added 5522; Current median 4734; running total 3736
Added 5999; Current median 4734; running total 8470
Added 5666; Current median 4737; running total 3207
Added 3587; Current median 4734; running total 7941
Added 7542; Current median 4737; running total 2678
Added 8455; Current median 4737; running total 7415
Added 8243; Current median 4740; running total 2155
Added 1259; Current median 4737; running total 6892
Added 9195; Current median 4740; running total 1632
Added 6212; Current median 4740; running total 6372
Added 2394; Current median 4740; running total 1112
Added 130; Current median 4737; running total 5849
Added 2445; Current median 4737; running total 586
Added 4363; Current median 4734; running total 5320
Added 2942; Current median 4734; running total 54
Added 9079; Current median 4734; running total 4788
Added 7166; Current median 4737; running total 9525
Added 8651; Current median 4737; running total 4262
Added 5216; Current median 4740; running total 9002
Added 7994; Current median 4740; running total 3742
Added 412; Current median 4740; running total 8482
Added 4013; Current median 4737; running total 3219
Added 1736; Current median 4737; running total 7956
Added 1122; Current median 4734; running total 2690
Added 1451; Current median 4734; running total 7424
Added 2865; Current median 4733; running total 2157
Added 7659; Current median 4734; running total 6891
Added 9169; Current median 4734; running total 1625
Added 5298; Current median 4737; running total 6362
Added 1922; Current median 4734; running total 1096
Added 4553; Current median 4734; running total 5830
Added 7222; Current median 4734; running total 564
Added 4156; Current median 4734; running total 5298
Added 4011; Current median 4733; running total 31
Added 3670; Current median 4733; running total 4764
Added 8937; Current median 4733; running total 9497
Added 5269; Current median 4734; running total 4231
Added 3248; Current median 4733; running total 8964
Added 3883; Current median 4733; running total 3697
Added 4064; Current median 4732; running total 8429
Added 6241; Current median 4733; running total 3162
Added 5975; Current median 4733; running total 7895
Added 1896; Current median 4733; running total 2628
